event,channel,waveform_index_save,dt_ns_coinc,dt_ns_save,channel_coincident_left,waveform_index_coincident_left,channel_coincident_right,waveform_index_coincident_right
11,2010,562,0,16,2030,154,2061,187
11,2010,564,0,48,2031,428,2060,464
11,2011,471,32,64,2030,136,2060,443
11,2011,479,-96,0,2031,411,2061,184
11,2011,484,0,16,2030,154,2061,187
11,2011,486,0,48,2031,428,2060,464
11,2080,341,32,16,2030,136,2060,443
11,2080,342,48,16,2030,138,2060,444
11,2080,349,48,0,2030,144,2061,182
11,2080,350,-80,0,2031,411,2060,457
11,2080,351,96,0,2031,415,2060,459
11,2080,354,32,0,2031,420,2060,461
11,2080,360,16,-16,2030,161,2061,190
11,2081,275,32,-16,2030,136,2060,443
11,2081,276,48,0,2030,138,2060,444
11,2081,283,16,-16,2031,408,2061,182
11,2081,284,-96,-32,2031,411,2061,184
11,2081,285,96,0,2031,415,2060,459
11,2081,288,32,-16,2031,420,2060,461
11,2081,294,16,-32,2030,161,2061,190
12,1020,1083,32,64,2031,446,2060,408
12,1020,1091,-16,48,2030,485,2060,413
12,1020,1093,-16,64,2031,454,2060,414
12,1020,1100,48,16,2031,457,2060,417
12,1020,1120,64,32,2031,471,2061,230
12,1021,637,64,64,2030,472,2060,400
12,1021,647,32,64,2031,446,2060,408
12,1021,657,-16,48,2030,485,2060,413
12,1021,663,48,32,2031,457,2060,417
12,1021,687,64,32,2031,471,2061,230
12,1040,792,64,32,2030,472,2060,400
12,1040,807,-16,32,2030,485,2060,413
12,1040,808,-16,48,2031,454,2060,414
12,1040,814,48,16,2031,457,2060,417
12,1040,831,64,48,2031,471,2061,230
12,1041,833,64,0,2030,472,2060,400
12,1041,848,-16,48,2030,485,2060,413
12,1041,849,-16,48,2031,454,2060,414
12,1041,855,48,16,2031,457,2060,417
12,1041,875,64,0,2031,471,2061,230
12,1060,756,32,64,2031,446,2060,408
12,1060,757,32,48,2031,447,2061,205
12,1060,765,-16,64,2031,454,2060,414
12,1060,766,-16,48,2030,485,2060,413
12,1060,771,48,32,2031,457,2060,417
12,1060,780,80,48,2030,496,2060,424
12,1060,789,32,48,2030,499,2060,438
12,1061,1034,32,64,2031,446,2060,408
12,1061,1035,32,-32,2031,447,2061,205
12,1061,1044,-16,48,2030,485,2060,413
12,1061,1045,-16,32,2031,454,2060,414
12,1061,1050,48,16,2031,457,2060,417
12,1061,1061,80,48,2030,496,2060,424
12,1061,1072,32,32,2030,499,2060,438
12,1080,581,64,48,2030,472,2060,400
12,1080,589,32,48,2031,447,2061,205
12,1080,596,-16,64,2030,485,2060,413
12,1080,597,-16,16,2031,454,2060,414
12,1080,613,80,48,2030,496,2060,424
12,1080,631,32,48,2030,499,2060,438
